"subject_id","activity_id","mean","sd"
1,"LAYING",-0.387825095410657,NA
1,"SITTING",-0.346202594031833,NA
1,"STANDING",-0.439196003147758,0.499742699274702
1,"WALKING",-0.362224769570561,NA
1,"WALKING_DOWNSTAIRS",-0.31188257963171,0.471348915769767
1,"WALKING_UPSTAIRS",-0.42930504446329,NA
2,"LAYING",-0.439200201822271,0.517124826880425
2,"SITTING",-0.466829604095318,0.512749172938223
2,"STANDING",-0.44997198150336,0.503430117885165
2,"WALKING",-0.386262134985319,0.50232298629031
2,"WALKING_DOWNSTAIRS",-0.429257835568378,0.501443066318236
2,"WALKING_UPSTAIRS",-0.453462771275201,0.509483589518639
3,"LAYING",-0.314758651159762,NA
3,"SITTING",-0.373971961033958,NA
3,"STANDING",-0.409386335006076,0.489187810247821
3,"WALKING",-0.404425638417262,0.485466949115718
3,"WALKING_DOWNSTAIRS",-0.377974497383613,NA
3,"WALKING_UPSTAIRS",-0.417588222290294,0.503304422896248
4,"LAYING",-0.394412353624195,0.497227831547896
4,"SITTING",-0.424803610637096,0.511046428613073
4,"STANDING",-0.476648942043598,0.516565787403439
4,"WALKING",-0.238488347104575,0.487448654909064
4,"WALKING_DOWNSTAIRS",-0.275606904113578,0.483234506260691
4,"WALKING_UPSTAIRS",-0.354227725160629,NA
5,"LAYING",-0.371404973400628,NA
5,"SITTING",-0.416667274604895,0.514445928294624
5,"STANDING",-0.29230180348988,NA
5,"WALKING",-0.435120449430943,NA
5,"WALKING_DOWNSTAIRS",-0.41062254488376,NA
5,"WALKING_UPSTAIRS",-0.277731737148381,0.487869012283194
6,"LAYING",-0.340442539842773,0.524757539857552
6,"SITTING",-0.347695885841784,0.541727046506327
6,"STANDING",-0.379561532258966,NA
6,"WALKING",-0.249446993880757,NA
6,"WALKING_DOWNSTAIRS",-0.256857334456786,NA
6,"WALKING_UPSTAIRS",-0.478678392362022,0.500942075276099
7,"LAYING",-0.321343172791147,0.490719781163193
7,"SITTING",-0.283362581440856,0.484535138096473
7,"STANDING",-0.27597443942637,0.493493421965253
7,"WALKING",-0.450088821084455,NA
7,"WALKING_DOWNSTAIRS",-0.43170064403962,0.495175287850469
7,"WALKING_UPSTAIRS",-0.470751439291143,NA
8,"LAYING",-0.401105658021704,NA
8,"SITTING",-0.387281491615818,NA
8,"STANDING",-0.426688796796201,0.501439765402948
8,"WALKING",-0.415182088366129,0.514529736758716
8,"WALKING_DOWNSTAIRS",-0.41147792295096,0.497406073266153
8,"WALKING_UPSTAIRS",-0.442283038063388,0.491288864341393
9,"LAYING",-0.262258699509072,0.49080477803955
9,"SITTING",-0.306193055690586,NA
9,"STANDING",-0.447990549030046,0.532524458930518
9,"WALKING",-0.380344660084678,0.506016536073167
9,"WALKING_DOWNSTAIRS",-0.454696356513828,0.509729764986678
9,"WALKING_UPSTAIRS",-0.443913584670107,0.491876228248893
10,"LAYING",-0.465741604859197,0.505463320826736
10,"SITTING",-0.399967441031,NA
10,"STANDING",-0.31332476009671,NA
10,"WALKING",-0.442594217697548,NA
10,"WALKING_DOWNSTAIRS",-0.431109860952717,NA
10,"WALKING_UPSTAIRS",-0.403569013303411,NA
11,"LAYING",-0.472157066946873,0.512622357501171
11,"SITTING",-0.388114735963956,NA
11,"STANDING",-0.401629232411747,0.506319001828955
11,"WALKING",-0.420106264476605,0.492249436245231
11,"WALKING_DOWNSTAIRS",-0.366428323391632,NA
11,"WALKING_UPSTAIRS",-0.333868596351029,0.498505775904193
12,"LAYING",-0.409259408989889,0.5070805575353
12,"SITTING",-0.390925539941963,NA
12,"STANDING",-0.593596531974866,NA
12,"WALKING",-0.274772158414922,0.463966810479454
12,"WALKING_DOWNSTAIRS",-0.254657170812239,NA
12,"WALKING_UPSTAIRS",-0.22306966131452,0.465928684375929
13,"LAYING",-0.395696326124266,0.497155013262271
13,"SITTING",-0.276059052160364,0.474298843961313
13,"STANDING",-0.297454377218108,0.470708149847052
13,"WALKING",-0.465070136946577,NA
13,"WALKING_DOWNSTAIRS",-0.606805912892261,0.53935946981043
13,"WALKING_UPSTAIRS",-0.481485248349674,0.509194194628615
14,"LAYING",-0.320992165291747,NA
14,"SITTING",-0.395386854358478,NA
14,"STANDING",-0.399593555754649,NA
14,"WALKING",-0.201685802340157,NA
14,"WALKING_DOWNSTAIRS",-0.199626223780141,0.468028225216741
14,"WALKING_UPSTAIRS",-0.343052179309576,NA
15,"LAYING",-0.38935292435438,0.485880793679014
15,"SITTING",-0.233506187518931,0.48856991036675
15,"STANDING",-0.269358178086718,0.488845672372061
15,"WALKING",-0.492465521420121,NA
15,"WALKING_DOWNSTAIRS",-0.506780440318459,NA
15,"WALKING_UPSTAIRS",-0.459967394271348,NA
16,"LAYING",-0.285785433013657,0.475879944216327
16,"SITTING",-0.470222993113204,NA
16,"STANDING",-0.552039517989796,NA
16,"WALKING",-0.256574053290497,0.490520090119139
16,"WALKING_DOWNSTAIRS",-0.32918937451298,0.478464211590677
16,"WALKING_UPSTAIRS",-0.414061026492714,0.493814503550984
17,"LAYING",-0.422970155874263,0.511133089039769
17,"SITTING",-0.450098650981394,0.522830888050053
17,"STANDING",-0.33641930370915,0.508574058212128
17,"WALKING",-0.508720521322858,0.51926526378933
17,"WALKING_DOWNSTAIRS",-0.475497422897995,0.50455732028672
17,"WALKING_UPSTAIRS",-0.462197700459847,0.520371114244647
18,"LAYING",-0.429992291674606,NA
18,"SITTING",-0.415308193867682,0.498861630723989
18,"STANDING",-0.558964167284817,NA
18,"WALKING",-0.328167643678885,0.495941685816838
18,"WALKING_DOWNSTAIRS",-0.228187200720478,NA
18,"WALKING_UPSTAIRS",-0.258814830964501,NA
19,"LAYING",-0.287707959095976,0.474440017267095
19,"SITTING",-0.400670039347462,0.48176770618454
19,"STANDING",-0.476787964517521,NA
19,"WALKING",-0.275822178348505,0.482555084446494
19,"WALKING_DOWNSTAIRS",-0.274546291938417,0.488717833475482
19,"WALKING_UPSTAIRS",-0.285877124218434,0.505872075789116
20,"LAYING",-0.385314795426198,NA
20,"SITTING",-0.283355150008433,NA
20,"STANDING",-0.215777089040565,NA
20,"WALKING",-0.433809054844713,NA
20,"WALKING_DOWNSTAIRS",-0.475151118963023,NA
20,"WALKING_UPSTAIRS",-0.423496513376153,0.490858852372852
21,"LAYING",-0.535550015437885,NA
21,"SITTING",-0.426452820649102,0.511579514441649
21,"STANDING",-0.279529475480983,0.488929756948791
21,"WALKING",-0.577625247721115,NA
21,"WALKING_DOWNSTAIRS",-0.435712230244421,NA
21,"WALKING_UPSTAIRS",-0.445089595794513,NA
22,"LAYING",-0.421555833988708,NA
22,"SITTING",-0.409996079084501,NA
22,"STANDING",-0.450280664443313,NA
22,"WALKING",-0.406448188839603,NA
22,"WALKING_DOWNSTAIRS",-0.296877796584863,NA
22,"WALKING_UPSTAIRS",-0.356051461142576,0.512602434645895
23,"LAYING",-0.269696073583759,0.49482573799689
23,"SITTING",-0.32461057010338,0.505278121834012
23,"STANDING",-0.436494836379681,0.525810014401773
23,"WALKING",-0.466734666319007,NA
23,"WALKING_DOWNSTAIRS",-0.449710196335879,NA
23,"WALKING_UPSTAIRS",-0.443117569034344,NA
24,"LAYING",-0.450762298918531,NA
24,"SITTING",-0.552988863172115,NA
24,"STANDING",-0.54683658903744,NA
24,"WALKING",-0.346157603151251,NA
24,"WALKING_DOWNSTAIRS",-0.267936909052028,NA
24,"WALKING_UPSTAIRS",-0.264559517930839,0.502897443129529
25,"LAYING",-0.422733640864864,NA
25,"SITTING",-0.386846401301237,NA
25,"STANDING",-0.386300399469237,NA
25,"WALKING",-0.569259909640288,NA
25,"WALKING_DOWNSTAIRS",-0.416378352477106,NA
25,"WALKING_UPSTAIRS",-0.352726702258496,NA
26,"LAYING",-0.414929423714246,NA
26,"SITTING",-0.396529849241217,NA
26,"STANDING",-0.475860477976589,NA
26,"WALKING",-0.239836253271134,0.481560534519122
26,"WALKING_DOWNSTAIRS",-0.270002909361649,0.482433257141417
26,"WALKING_UPSTAIRS",-0.438622249918357,0.501488939258294
27,"LAYING",-0.390135518514137,0.494840868016042
27,"SITTING",-0.322824861879268,0.511329996092907
27,"STANDING",-0.234950697796589,0.465660073063544
27,"WALKING",-0.574429731341317,NA
27,"WALKING_DOWNSTAIRS",-0.516087573698518,NA
27,"WALKING_UPSTAIRS",-0.495433761688182,NA
28,"LAYING",-0.373773516394833,0.474780812303008
28,"SITTING",-0.570107898238324,0.5158535087634
28,"STANDING",-0.498039078662892,NA
28,"WALKING",-0.45393256396191,0.501037648285761
28,"WALKING_DOWNSTAIRS",-0.421525865266257,0.508887507497096
28,"WALKING_UPSTAIRS",-0.360147177813837,NA
29,"LAYING",-0.283908504611581,0.482123982312734
29,"SITTING",-0.441246629151504,NA
29,"STANDING",-0.448579936935524,0.496572049123639
29,"WALKING",-0.282780885359239,0.478336220947543
29,"WALKING_DOWNSTAIRS",-0.433487599162357,0.499504248300573
29,"WALKING_UPSTAIRS",-0.486086230973637,0.499031954968246
30,"LAYING",-0.59174828655649,NA
30,"SITTING",-0.507122431723998,NA
30,"STANDING",-0.35395232070667,0.476992113015836
30,"WALKING",-0.470779543352773,NA
30,"WALKING_DOWNSTAIRS",-0.337652862827395,NA
30,"WALKING_UPSTAIRS",-0.395684858157644,NA
